geography,immigrant_status,total_pop,total_income,total_stir,owner_pop,owner_income,owner_stir,renter_pop,renter_income,renter_stir,renter_owner_gap,city,csd_name
    Sainte-Julie (2459010) V 00000 (  0.9%),Immigrant,2685.0,135400.0,19.0,2395.0,143800.0,17.6,285.0,65500.0,30.7,13.099999999999998,Montreal,Sainte-Julie
    Saint-Amable (2459015) V 00000 (  2.3%),Total Immigrant Status,13235.0,114300.0,17.4,11065.0,121600.0,17.0,2165.0,76900.0,19.1,2.1000000000000014,Montreal,Saint-Amable
    Saint-Amable (2459015) V 00000 (  2.3%),Non-immigrants,12080.0,114900.0,17.1,10020.0,122800.0,16.7,2060.0,76500.0,19.2,2.5,Montreal,Saint-Amable
    Saint-Amable (2459015) V 00000 (  2.3%),Immigrant,1155.0,108200.0,19.9,1040.0,110600.0,20.1,110.0,84000.0,18.2,-1.9000000000000021,Montreal,Saint-Amable
    Varennes (2459020) V 00000 (  1.7%),Total Immigrant Status,20675.0,140800.0,13.9,17500.0,152200.0,13.0,3170.0,78000.0,19.3,6.300000000000001,Montreal,Varennes
    Varennes (2459020) V 00000 (  1.7%),Non-immigrants,19630.0,142200.0,13.7,16635.0,153800.0,12.7,3000.0,77800.0,19.4,6.699999999999999,Montreal,Varennes
    Varennes (2459020) V 00000 (  1.7%),Immigrant,1045.0,116400.0,18.3,870.0,123200.0,18.5,175.0,83000.0,17.4,-1.1000000000000014,Montreal,Varennes
    Verchères (2459025) MÉ 00000 (  3.2%),Total Immigrant Status,5655.0,126200.0,14.8,4730.0,136600.0,14.3,925.0,72800.0,17.2,2.8999999999999986,Montreal,Verchères
    Verchères (2459025) MÉ 00000 (  3.2%),Non-immigrants,5475.0,125800.0,14.8,4565.0,136600.0,14.2,910.0,71600.0,17.4,3.1999999999999993,Montreal,Verchères
    Verchères (2459025) MÉ 00000 (  3.2%),Immigrant,180.0,138000.0,16.1,165.0,138000.0,16.7,0.0,,,,Montreal,Verchères
    Charlemagne (2460005) V 00000 (  2.5%),Total Immigrant Status,6245.0,94000.0,17.0,3700.0,111900.0,14.7,2550.0,68200.0,20.2,5.5,Montreal,Charlemagne
    Charlemagne (2460005) V 00000 (  2.5%),Non-immigrants,5675.0,94300.0,16.5,3290.0,112700.0,14.2,2385.0,69000.0,19.6,5.400000000000002,Montreal,Charlemagne
    Charlemagne (2460005) V 00000 (  2.5%),Immigrant,575.0,91600.0,21.8,405.0,105600.0,18.6,165.0,56400.0,29.9,11.299999999999997,Montreal,Charlemagne
    Repentigny (2460013) V 00000 (  1.5%),Total Immigrant Status,84445.0,125600.0,16.4,70540.0,135400.0,15.4,13900.0,75400.0,21.9,6.499999999999998,Montreal,Repentigny
    Repentigny (2460013) V 00000 (  1.5%),Non-immigrants,67410.0,124600.0,15.7,55175.0,136000.0,14.3,12235.0,73100.0,22.0,7.699999999999999,Montreal,Repentigny
    Repentigny (2460013) V 00000 (  1.5%),Immigrant,17035.0,129600.0,19.4,15370.0,133600.0,19.2,1665.0,92000.0,21.0,1.8000000000000007,Montreal,Repentigny
    Saint-Sulpice (2460020) PE 00000 (  2.0%),Total Immigrant Status,3325.0,110600.0,15.9,2705.0,118900.0,15.2,620.0,74000.0,18.9,3.6999999999999993,Montreal,Saint-Sulpice
    Saint-Sulpice (2460020) PE 00000 (  2.0%),Non-immigrants,3160.0,109600.0,15.9,2615.0,117600.0,15.2,545.0,71200.0,19.4,4.199999999999999,Montreal,Saint-Sulpice
    Saint-Sulpice (2460020) PE 00000 (  2.0%),Immigrant,160.0,130000.0,16.1,95.0,158000.0,16.6,75.0,96000.0,15.6,-1.0000000000000018,Montreal,Saint-Sulpice
    L'Assomption (2460028) V 00000 (  1.9%),Total Immigrant Status,22830.0,119800.0,16.7,18300.0,132000.0,15.8,4530.0,70400.0,20.3,4.5,Montreal,L'Assomption
